codigo,nome,nome_bairro,faixa_preco,populacao,densidade_demografica,weekday,weekday_count,periodo_manha,manha_count,periodo_tarde,tarde_count,periodo_noite,noite_count,endereco
678893075492976,E.V.S Ouro Verde - Novo Endereço,Ouro Verde,0,141490,4786.3739386353645,Sun,26,manha,13,tarde,9,noite,4,"Avenida Jacauna. 1945, 13054-107 Campinas"
772852106115330,1700 Pizza Bar - Sousas,APA Zona Urbana (Sousas Joaquim Egídio),2,19421,901.4993269275403,Sun,42,manha,16,tarde,20,noite,6,"Av. Antonio Carlos Couto de Barros 425, 13105500 Campinas"
113104335757395,Kitutes da Ci,Swift,2,86361,6354.185060921773,Thu,10,manha,1,tarde,6,noite,3,"Rua Serra dos órgãos, 30 - Jardim Proença, 13100-446 Campinas"
138214593240508,Salgados Villine,PUCCamp (Roseira),2,112644,7192.09306483125,Thu,36,manha,13,tarde,15,noite,8,"R.ELZA PENTEADO ORSI, 7 , VILA UNIAO., 13060724 Campinas"
150580002155694,A Taberna Bar E Grill,Campo Grande,2,105720,2248.954976227704,Thu,30,manha,3,tarde,7,noite,20,"Rua Vicente De Marchi, 13059045 Campinas"
1527685900786048,Sorveteria Sabor e Sonho,Castelo,4,67263,5683.108587650817,Thu,42,manha,12,tarde,19,noite,11,"Rua Antônio Claret 282, 13070-145 Campinas"
343780232677450,"La Fruteria - Nicky's - Hambúrguer, Taças Gourmet, Açaí, Fondues e Doces.",Swift,0,86361,6354.185060921773,Thu,38,manha,16,tarde,12,noite,10,"Avenida Doutor Arlindo Joaquim de Lemos, 601, Campinas"
1484184515134379,Jambu Bistrô,Alphavile Campinas,4,13188,580.7593732660448,Tue,10,manha,6,tarde,2,noite,2,"Rua Embiruçu, 300 - Alphaville, 13098320 Campinas"
166622033514420,Mari Pinheiro Confeitaria,PUCCamp (Roseira),1,112644,7192.09306483125,Tue,14,manha,3,tarde,8,noite,3,"Rua Pedreira 565, 13050544 Campinas"
204673473044804,Naildo Massas,PUCCamp (Roseira),0,112644,7192.09306483125,Tue,30,manha,12,tarde,2,noite,16,"R. Orestes Monteiro de Carvalho e Silva, 168, Campinas"
310206372449106,Deposito de Bebidas Gespeto,Ouro Verde,0,141490,4786.3739386353645,Tue,97,manha,40,tarde,48,noite,9,"Avenida Suaçuna, 365, vila Aeroporto, 13054-105 Campinas"
320945371392331,Roots Burger - Barão Geraldo,Barão Geraldo,2,38740,1010.9445050442843,Tue,27,manha,8,tarde,11,noite,8,"A, santa Isabel, 369, 13084012 Campinas"
360044020707227,Donuts Amora,Ouro Verde,0,141490,4786.3739386353645,Tue,44,manha,10,tarde,11,noite,23,"Rua Francico Carvalho de Moura, 13057425 Campinas"
1429110800642329,Empório doces finos,Ouro Verde,2,141490,4786.3739386353645,Wed,74,manha,28,tarde,26,noite,20,"Av. Arymana, 1200  Parque Dom Pedro II, 13056440 Campinas"
1787990134781401,Chubby Burguer,APA Zona Urbana (Sousas Joaquim Egídio),2,19421,901.4993269275403,Wed,76,manha,38,tarde,22,noite,16,"Mall Platz - Av. Dr Antonio Carlos Couto de Barros, 513, Sousas, 13100-100 Campinas"
1791982224400511,Juice&Toast,Viracopos,3,826,75.47445655650075,Wed,622,manha,323,tarde,187,noite,112,"Rodovia Santos Dumont, s/n, Km 66, 13052-901 Campinas"
